[As]([C][C][O]=[O])	CAC	AS
[As]([C][C][O]=[O])	CAD	AS
[As]([C][C]=[O][S])	CAF	AS
[B]([B][B][B][C][Co][H])	CB5	B7
[Co]([B][B][B][B][B][B][C][C][C][C])	CB5	CO
[B]([B][B][C][Co][H])	CB5	B24
[B]([B][B][B][B][H])	CB5	B29
[B]([B][B][C][H])	CB5	B25
[B]([B][B][B][B][B][H])	CB5	B30
[B]([B][B][B][B][B][H])	CB5	B32
[B]([B][B][B][B][C][H])	CB5	B31
[B]([B][B][B][C][C][H])	CB5	B26
[C]([B][B][B][C][Co][H])	CB5	C22
[B]([B][B][B][C][Co][H])	CB5	B27
[B]([B][B][B][B][Co][H])	CB5	B8
[B]([B][B][C][Co][H])	CB5	B4
[B]([B][B][B][B][B][H])	CB5	B9
[B]([B][B][B][C][H])	CB5	B5
[B]([B][B][B][B][B][H])	CB5	B12
[B]([B][B][B][B][C][H])	CB5	B11
[B]([B][B][B][C][C][H])	CB5	B6
[C]([B][B][B][C][Co][H])	CB5	C2
[C]([B][B][B][C][Co][H])	CB5	C1
[B]([B][B][B][B][Co][H])	CB5	B28
[C]([B][B][B][C][Co][H])	CB5	C21
[B]([B][B][B][B][B][H])	CB5	B10
[N]([C][C][Co])	CBY	N24
[Co]([N][N][N][N])	CBY	CO
[Fe]([N][N][N][N])	CCH	FE
[Cd]([O])	CD1	CD
[O]([Cd][H][H])	CD1	O1
[Cd]([O][O][O])	CD3	CD
[O]([Cd][H][H])	CD3	O1
[O]([Cd][H][H])	CD3	O2
[O]([Cd][H][H])	CD3	O3
[Cd]([O][O][O][O][O])	CD5	CD
[O]([Cd][H][H])	CD5	O1
[O]([Cd][H][H])	CD5	O2
[O]([Cd][H][H])	CD5	O3
[O]([Cd][H][H])	CD5	O4
[O]([Cd][H][H])	CD5	O5
[Fe]([C][C][C][C][C][C][C][C][C][C])	CFC	FE
[Fe]([S][S][S])	CFM	FE1
[Fe]([S][S][S])	CFM	FE2
[Fe]([S][S][S])	CFM	FE3
[Fe]([S][S][S])	CFM	FE4
[Fe]([S][S][S])	CFM	FE5
[Fe]([S][S][S])	CFM	FE6
[Fe]([S][S][S])	CFM	FE7
[Mo]([S][S][S])	CFM	MO1
[Fe]([N][S][S][S])	CFN	FE4
[Fe]([N][S][S][S])	CFN	FE3
[Fe]([N][S][S][S])	CFN	FE7
[Mo]([S][S][S])	CFN	MO1
[Fe]([N][S][S][S])	CFN	FE6
[Fe]([N][S][S][S])	CFN	FE2
[Fe]([S][S][S])	CFN	FE1
[Fe]([N][S][S][S])	CFN	FE5
[N]([Fe][Fe][Fe][Fe][Fe][Fe])	CFN	NX
[Fe]([Cl][O])	CFO	FE2
[Fe]([O])	CFO	FE1
[Mg]([N][N][N][N])	CHL	MG
[Mg]([N][N][N][N])	CL1	MG
[Mg]([N][N][N][N])	CL2	MG
[Mg]([N][N][N][N])	CL7	MG
[Mg]([N][N][N][N])	CLA	MG
[Fe]([S][S][S])	CLF	FE1
[Fe]([S][S][S])	CLF	FE2
[Fe]([S][S][S])	CLF	FE3
[Fe]([S][S][S])	CLF	FE4
[Fe]([S][S][S])	CLF	FE5
[Fe]([S][S][S])	CLF	FE6
[Fe]([S][S][S])	CLF	FE7
[Fe]([S][S][S])	CLF	FE8
[Fe]([N][N][N][N])	CLN	FE
[Fe]([S][S][S])	CLP	FE1
[Fe]([S][S][S])	CLP	FE2
[Fe]([S][S][S])	CLP	FE3
[Fe]([S][S][S])	CLP	FE4
[Fe]([S][S][S])	CLP	FE5
[Fe]([S][S][S])	CLP	FE6
[Fe]([S][S][S])	CLP	FE7
[Fe]([S][S][S])	CLP	FE8
[Fe]([O][O][O][O])	CM1	FE
[Fe]([O][O][O][O])	CM2	FE
[Hg]([C][S])	CMH	HG
[Fe]([O][O][O][O][O])	CN1	FE1
[Fe]([O][O][O][O])	CN1	FE2
[Fe]([O][O][O][O][O])	CN1	FE3
[O]([Fe][Fe][O])	CN1	O23
[Fe]([O][O][O][O])	CNB	FE1
[Fe]([O][O][O][O][O])	CNB	FE2
[Fe]([O][O][O][O][O])	CNB	FE3
[Co]([C][N][N][N][N])	CNC	CO
[N]([C]=[C][Co])	CNC	N24
[Fe]([O][O][O][O][O])	CNF	FE1
[Fe]([O][O][O][O][O])	CNF	FE2
[Fe]([O][O][O][O][O][O])	CNF	FE3
[O]([Fe][Fe][Fe])	CNF	OU
[Co]([O][O][O][O][O])	CO5	CO
[O]([Co][H][H])	CO5	O1
[O]([Co][H][H])	CO5	O2
[O]([Co][H][H])	CO5	O3
[O]([Co][H][H])	CO5	O4
[O]([Co][H][H])	CO5	O5
[Co]([C][N][N][N][N])	COB	CO
[N]([C]=[C][Co])	COB	N24
[Co]([N][N][N][N])	CON	CO
[N]([Co][H][H][H])	CON	N1
[N]([Co][H][H][H])	CON	N2
[N]([Co][H][H][H])	CON	N3
[N]([Co][H][H][H])	CON	N4
[Co]([C][N][N][N][N])	COY	CO
[N]([C][C][Co])	COY	N24
[P]([O]=[O]=[O])	CP5	P1
[O](=[C][Fe])	CPO	O3
[Fe]([O][O][O][O][O][O])	CPO	FE
[O](=[C][Fe])	CPO	O8
[O](=[C][Fe])	CPO	O12
[N]([H][H][H][Pt])	CPT	N1
[N]([H][H][H][Pt])	CPT	N2
[Pb]([S])	CSB	PB
[As]([O][O]=[O][S])	CSR	AS
[Cu]	CUA	CU1
[Cu]	CUA	CU2
[Cu]([N])	CUB	CU
[Mo]([C][O]=[O][S])	CUB	MO
[Cu]([Cl][Cl])	CUL	CU
[Cu]([S])	CUM	CU
[Mo]([O]=[O][S])	CUM	MO
[Cu]([S])	CUN	CU
[Mo]([O]=[O][S])	CUN	MO
[Cu]([O][O])	CUO	CU1
[Cu]([O][O])	CUO	CU2
[Cu]([N][O][O])	CUP	CU1
[Cu]([N][O][O])	CUS	CU1
[Cu]([Cu][Cu][S])	CUZ	CU1
[Cu]([Cu][Cu][S])	CUZ	CU2
[Cu]([Cu][Cu][Cu][S])	CUZ	CU3
[Cu]([Cu][Cu][Cu][S])	CUZ	CU4
[Fe]([Fe][Fe][S][S][S])	CZL	FE1
[Fe]([Fe][Fe][S][S][S])	CZL	FE2
[Fe]([Fe][Fe][Fe][S][S][S])	CZL	FE3
[Fe]([Fe][Fe][Fe][S][S][S])	CZL	FE4
[Fe]([Fe][Fe][Fe][S][S][S])	CZL	FE5
[Fe]([Fe][Fe][Fe][S][S][S])	CZL	FE6
[Fe]([Fe][Fe][Fe][S][S][S])	CZL	FE7
[Fe]([Fe][S][S][S])	CZL	FE8
[Al]([F][F][F][O])	DAA	AL
[Be]([F][F][F][O])	DAE	BE
[Be]([F][F][F][O])	DAQ	BE
[Fe]([N][N][N][N])	DDH	FE
[Fe]([O][O][O][O][O][O])	DEF	FE
[O](=[C][Fe])	DEF	O12
[O](=[C][Fe])	DEF	O22
[O](=[C][Fe])	DEF	O32
[Co]([N][N][N][N])	DEU	CO
[Fe]([N][N][N][N])	DHE	FE
[D]([O])	DOD	D1
[D]([O])	DOD	D2
[Os]([N][N][N][N][N])	DOS	OS
[Ru]([N][N][N][N][N][N])	DRB	RU
[Ru]([N][N][N][N][N])	DRU	RU
[V]([O][O][O][O][O][O])	DVT	V10
[V]([O][O][O][O][O][O])	DVT	V1
[V]([O][O][O][O][O][O])	DVT	V9
[O]([V][V][V][V][V][V])	DVT	O2
[V]([O][O][O][O][O][O])	DVT	V7
[V]([O][O][O][O][O][O])	DVT	V6
[V]([O][O][O][O][O][O])	DVT	V8
[V]([O][O][O][O][O][O])	DVT	V5
[O]([V][V][V][V][V][V])	DVT	O7
[V]([O][O][O][O][O][O])	DVT	V2
[V]([O][O][O][O][O][O])	DVT	V4
[V]([O][O][O][O][O][O])	DVT	V3
[O](#[C])	DW1	O11
[Ru]([C][C][N][N])	DW1	RU
[O](#[C])	DW2	O11
[Ru]([C][C][C][C][C][C][N][N])	DW2	RU18
[C]([C]=[C][H][Ru])	DW2	C12
[C]([C]=[C][H][Ru])	DW2	C13
[C]([C]=[C][H][Ru])	DW2	C14
[C]([C]=[C][H][Ru])	DW2	C16
[Os]([C][C][C][C][C][C][N][N])	DWC	OS
[Ru]([C][C][C][C][C][C][N][N])	E52	RU
[O](#[C])	E52	O28
[C]([C]=[C][H][Ru])	E52	C29
[C]([C]=[C][H][Ru])	E52	C31
[C]([C]=[C][H][Ru])	E52	C32
[C]([C]=[C][H][Ru])	E52	C33
[Se]([C][C][C])	EEM	SE
[Hg]([C])	EMC	HG
[Hg]([C][S])	EMT	HG
[Fe]([O])	F2O	FE1
[Fe]([O])	F2O	FE2
[Fe]([S][S][S])	F3S	FE1
[Fe]([S][S][S])	F3S	FE3
[Fe]([S][S][S])	F3S	FE4
[Ni]([N][N][N][N])	F43	NI
[Fe]([C][C][C][C][C][C])	FC6	FE2
[Fe]([O][O][O][O][O][O])	FCI	FE
[O](=[C][Fe])	FCI	O3
[O](=[C][Fe])	FCI	O6
[O](=[C][Fe])	FCI	O8
[Fe]([C][C]=[C])	FCO	FE
[Fe]([O][O][O][O][O])	FDC	FE1
[O]([C][Fe][H])	FDC	O1
[O]([C][Fe][H])	FDC	O2
[O]([C][Fe][Fe][H])	FDC	O3
[O]([C][Fe][Fe][H])	FDC	O4
[O]([C][Fe][H])	FDC	O5
[Fe]([O][O][O][O][O])	FDC	FE2
[O]([C][Fe][H])	FDC	O9
[O]([C][Fe][H])	FDC	O10
[O]([C][Fe][H])	FDC	O11
[Fe]([N][N][N][N])	FDD	FE
[Fe]([N][N][N][N])	FDE	FE
[Fe]([O])	FEA	FE1
[Fe]([N][O])	FEA	FE2
[Fe]([N][N][N][N])	FEC	FE
[Fe]([O][O][O])	FEL	FE
[O]([Fe][H][H])	FEL	O1
[O]([Fe][H][H])	FEL	O2
[O]([Fe][H][H])	FEL	O3
[Fe]([C][C][C][C][C][C][C][C][C][C])	FEM	FE
[C]([C][C]=[C][Fe])	FEM	C1
[C]([C]=[C][Fe][H])	FEM	C2
[C]([C]=[C][Fe][H])	FEM	C4
[C]([C]=[C][Fe][H])	FEM	C5
[C]([C]=[C][Fe][H])	FEM	C6
[C]([C]=[C][Fe][H])	FEM	C7
[C]([C]=[C][Fe][H])	FEM	C8
[C]([C]=[C][Fe][H])	FEM	C9
[Fe]([O])	FEO	FE1
[Fe]([O])	FEO	FE2
[Fe]([S][S])	FES	FE1
[Fe]([S][S])	FES	FE2
[Ru]([C][Cl][N][N][N][N])	FLL	RU20
[O](#[C])	FLL	O14
[Fe]([N][N][N][N])	FMI	FE
[Fe]([C][C][C][Ni][S])	FNE	FE
[O](#[C])	FNE	O1
[O](#[C])	FNE	O2
[O](#[C])	FNE	O3
[Fe]	FS1	FE
[Fe]([Fe][O][S][S])	FS2	FE5
[Fe]([Fe][Fe][O][S][S])	FS2	FE6
[Fe]([O][O])	FS2	FE7
[Fe]([Fe][O][O][O][S])	FS2	FE8
[O]([Fe][Fe][Fe])	FS2	O1
[Fe]([Fe][Fe][S][S][S])	FS3	FE1
[Fe]([Fe][Fe][S][S][S])	FS3	FE2
[Fe]([Fe][Fe][S][S][S])	FS3	FE3
[Fe]([Fe][Fe][Fe][S][S][S])	FS4	FE1
[Fe]([Fe][Fe][Fe][S][S][S])	FS4	FE2
[Fe]([Fe][Fe][Fe][S][S][S])	FS4	FE3
[Fe]([Fe][Fe][Fe][S][S][S])	FS4	FE4
[Fe]([Fe][O][S][S])	FSF	FE5
[Fe]([Fe][S][S])	FSF	FE6
[Fe]([Fe][O])	FSF	FE7
[Fe]([Fe][S])	FSF	FE8
[Fe]([Fe][O][S][S])	FSO	FE5
[Fe]([Fe][O][S][S])	FSO	FE6
[Fe]([O][O])	FSO	FE7
[Fe]([Fe][Fe][O][O][S][S])	FSO	FE8
[Fe]([Fe][O][S][S])	FSX	FE1
[Fe]([O][O][O])	FSX	FE2
[Fe]([Fe][Fe][S][S][S])	FSX	FE3
[Fe]([Fe][O][S][S])	FSX	FE4
[Ga]([O][O][O][O][O][O])	GCR	GA
[O](=[C][Ga])	GCR	O3
[O](=[C][Ga])	GCR	O6
[O](=[C][Ga])	GCR	O8
[X]([C])	GLX	XE1
[X]([C])	GLX	XE2
[Fe]([N][N][N][N])	HAS	FE
[O](#[C])	HB1	O3
[Ru]([C][C][C][C][C][C][N][N])	HB1	RU1
[C](=[C]=[C][Ru])	HB1	C5
[C]([C]=[C][H][Ru])	HB1	C6
[C]([C]=[C][H][Ru])	HB1	C7
[C]([C]=[C][H][Ru])	HB1	C8
[C]([C]=[C][H][Ru])	HB1	C9
[N]([C][C][H][Ru])	HB1	N1
[Fe]([C][C][C][Fe][O][S][S])	HC0	FE1
[Fe]([C][C][C][C][Fe][S][S])	HC0	FE2
[O]([Fe][H][H])	HC0	O1
[Fe]([C][C][C][Fe][O][S][S])	HC1	FE1
[Fe]([C][C][C][Fe][O][S][S])	HC1	FE2
[O]([Fe][H][H])	HC1	O1
[O]([Fe][H][H])	HC1	O2
[Fe]([C][C][C][S][S])	HCN	FE1
[Fe]([C][C][C][O][S][S])	HCN	FE2
[O]([Fe][H][H])	HCN	O2
[Fe]([N][N][N][N])	HCO	FE
[Fe]([N][N][N][N])	HDD	FE
[Fe]([N][N][N][N])	HDE	FE
[Fe]([N][N][N][N])	HDM	FE
[Zn]([N][N][N][N])	HE5	ZN
[Fe]([N][N][N][N])	HE6	FE
[Fe]([N][N][N][N])	HEA	FE
[Fe]([N][N][N][N])	HEB	FE
[Fe]([N][N][N][N])	HEC	FE
[Mg]([N][N][N][N])	HEG	MG
[Fe]([N][N][N][N])	HEM	FE
[Fe]([N][N][N][N])	HEO	FE
[Zn]([N][N][N][N])	HES	ZN
[Fe]([N][N][N][N])	HEV	FE
[Hf]([O][O][O][O][O][O])	HF3	HFA
[O]([Hf][Hf][Hf])	HF3	O00
[Hf]([O][O][O][O][O][O][O])	HF3	HFB
[Hf]([O][O][O][O][O][O])	HF3	HFC
[Hf]([O][O][O][O][O][O])	HF5	HFA
[O]([Hf][Hf][Hf])	HF5	O00
[Hf]([O][O][O][O][O][O][O])	HF5	HFB
[Hf]([O][O][O][O][O][O])	HF5	HFC
[Hf]([O][O][O][O][O][O])	HF5	HFD
[Hf]([O][O][O][O][O][O])	HF5	HFE
[Fe]([N][N][N][N])	HFM	FE
[Hg]([Br][Br])	HG2	HG
[Hg]([C][O])	HGB	HG
[Hg]([C])	HGC	HG
[Hg]([I][I])	HGI	HG
[Fe]([N][N][N][N])	HIF	FE
[Fe]([N][N][N][N])	HKL	FE
[Fe]([N][N][N][N])	HME	FE
[Ni]([N][N][N][N])	HNI	NI
[V]([O][O][O]=[O])	I42	V
[Ca]([O])	ICA	CA
[Cu]([N][N][N][N][O][O])	IME	CU
[Cu]([N][N][N][N][O][O])	IMF	CU
[O]([Cu][H][H])	IMF	O1
[O]([Cu][H][H])	IMF	O2
[Ir]([N][N][N][N][N][N])	IRI	IR
[N]([H][H][H][Ir])	IRI	N1
[N]([H][H][H][Ir])	IRI	N2
[N]([H][H][H][Ir])	IRI	N3
[N]([H][H][H][Ir])	IRI	N4
[N]([H][H][H][Ir])	IRI	N5
[N]([H][H][H][Ir])	IRI	N6
[Mg]([O])	ITM	MG
[U]([O][O])	IUM	U
[Ru]([C][C][C][C][C][C][N][N])	JM1	RU12
[W]([O][O][O][O][O]=[O])	KEG	W1
[W]([O][O][O][O][O]=[O])	KEG	W2
[W]([O][O][O][O][O]=[O])	KEG	W3
[W]([O][O][O][O][O]=[O])	KEG	W4
[W]([O][O][O][O][O]=[O])	KEG	W5
[W]([O][O][O][O][O]=[O])	KEG	W6
[W]([O][O][O][O][O]=[O])	KEG	W7
[W]([O][O][O][O][O]=[O])	KEG	W8
[W]([O][O][O][O][O]=[O])	KEG	W9
[W]([O][O][O][O][O]=[O])	KEG	W10
[W]([O][O][O][O][O]=[O])	KEG	W11
[W]([O][O][O][O][O]=[O])	KEG	W12
[P]([O][O][O][O])	KEG	P1
[O]([P][W][W][W])	KEG	O17
[O]([P][W][W][W])	KEG	O18
[O]([P][W][W][W])	KEG	O19
[O]([P][W][W][W])	KEG	O21
[K]([O][O][O][O])	KO4	K
[O]([H][H][K])	KO4	O1
[O]([H][H][K])	KO4	O2
[O]([H][H][K])	KO4	O3
[O]([H][H][K])	KO4	O4
[Ru]([C][C][C][C][C][C][Cl][N][N])	KYS	RU1
[C]([C]=[C][H][Ru])	KYS	C6
[C]([C]=[C][H][Ru])	KYS	C7
[C]([C]=[C][H][Ru])	KYS	C8
[C]([C]=[C][H][Ru])	KYS	C9
[C]([C]=[C][H][Ru])	KYS	C10
[C]([C]=[C][H][Ru])	KYS	C5
[Ru]([C][C][C][Cl][N][N])	KYT	RU1
[N]([C][H][H][Ru])	KYT	N1
[C]([C][C]=[C][Ru])	KYT	C3
[C]([C]=[C][H][Ru])	KYT	C8
[C]([C]=[C][H][Ru])	KYT	C12
[N]([C][H][H][Ru])	KYT	N2
[Os]([N][N][N][N][N])	LOS	OS
[N]([C][H][H][Pt])	LPT	N2
[N]([H][H][H][Pt])	LPT	N1
[Pt]([N][N])	LPT	PT
[Ru]([N][N][N][N][N][N])	LRB	RU
[Ru]([N][N][N][N][N])	LRU	RU
[Hg]([O])	MAC	HG
[Mg]([O])	MAP	MG
[Hg]([C])	MBO	HG
[Ru]([C][C][C][C][C][C][N][N])	ME3	RU1
[C]([H]#[O][Ru])	ME3	C4
[O](#[C])	ME3	O3
[Mg]([F][F][F][F])	MF4	MG
[Mg]([F][F][F])	MGF	MG
[Mn]([O])	MH2	MN
[Mn]([O])	MH3	MN
[Fe]([N][N][N][N])	MHM	FE
[Cu]([N][N][N][N])	MM1	CU1
[N]([C][C][Cu][H])	MM1	N4
[N]([C][C][Cu][H])	MM1	N7
[N]([C][C][Cu][H])	MM1	N11
[N]([C][C][Cu][H])	MM1	N14
[Cu]([N][N][N][N])	MM2	CU1
[N]([C][C][C][Cu])	MM2	N4
[N]([C][C][Cu][H])	MM2	N7
[N]([C][C][Cu][H])	MM2	N11
[N]([C][C][Cu][H])	MM2	N14
[Cu]([N][N][N][N])	MM2	CU2
[N]([C][C][C][Cu])	MM2	N1
[N]([C][C][Cu][H])	MM2	N2
[N]([C][C][Cu][H])	MM2	N3
[N]([C][C][Cu][H])	MM2	N5
[Mo](=[O]=[O])	MM4	MO
[Ni]([N][N][N][N])	MM5	NI1
[N]([C][C][C][Ni])	MM5	N4
[N]([C][C][C][Ni])	MM5	N1
[Ni]([N][N][N][N])	MM5	NI2
[Ni]([N][N][N][N])	MM6	NI1
[Hg]([C])	MMC	HG
[Mn]([O][O][O][O][O])	MN5	MN
[O]([H][H][Mn])	MN5	O1
[O]([H][H][Mn])	MN5	O2
[O]([H][H][Mn])	MN5	O3
[O]([H][H][Mn])	MN5	O4
[O]([H][H][Mn])	MN5	O5
[Mn]([O][O][O][O][O][O])	MN6	MN
[O]([H][H][Mn])	MN6	O1
[O]([H][H][Mn])	MN6	O2
[O]([H][H][Mn])	MN6	O3
[O]([H][H][Mn])	MN6	O4
[O]([H][H][Mn])	MN6	O5
[O]([H][H][Mn])	MN6	O6
[Mn]([N][N][N][N])	MNH	MN
[Be]([F][F][F][O])	MNQ	BE
[Mn]([N][N][N][N])	MNR	MN
[Mg]([O])	MO1	MG
[O]([H][H][Mg])	MO1	O1
[Mg]([O][O])	MO2	MG
[O]([H][H][Mg])	MO2	O1
[O]([H][H][Mg])	MO2	O2
[Mg]([O][O][O])	MO3	MG
[O]([H][H][Mg])	MO3	O1
[O]([H][H][Mg])	MO3	O2
[O]([H][H][Mg])	MO3	O3
[Mg]([O][O][O][O])	MO4	MG
[O]([H][H][Mg])	MO4	O1
[O]([H][H][Mg])	MO4	O2
[O]([H][H][Mg])	MO4	O3
[O]([H][H][Mg])	MO4	O4
[Mg]([O][O][O][O][O])	MO5	MG
[O]([H][H][Mg])	MO5	O1
[O]([H][H][Mg])	MO5	O2
[O]([H][H][Mg])	MO5	O3
[O]([H][H][Mg])	MO5	O4
[O]([H][H][Mg])	MO5	O5
[Mg]([O][O][O][O][O][O])	MO6	MG
[O]([H][H][Mg])	MO6	O1
[O]([H][H][Mg])	MO6	O2
[O]([H][H][Mg])	MO6	O3
[O]([H][H][Mg])	MO6	O4
[O]([H][H][Mg])	MO6	O5
[O]([H][H][Mg])	MO6	O6
[Mo]([O][O][O][O][O][O])	MO7	MO1
[O]([Mo][Mo])	MO7	O1
[O]([Mo][Mo][Mo][Mo])	MO7	O2
[O]([Mo][Mo][Mo])	MO7	O3
[O]([Mo][Mo])	MO7	O4
[O]([Mo][Mo][Mo][Mo])	MO7	O5
[Mo]([O][O][O][O][O][O])	MO7	MO2
[O]([Mo])	MO7	O6
[O]([Mo][Mo])	MO7	O7
[O]([Mo])	MO7	O8
[Mo]([O][O][O][O][O][O])	MO7	MO3
[O]([Mo][Mo])	MO7	O9
[O]([Mo])	MO7	O10
[O]([Mo])	MO7	O11
[Mo]([O][O][O][O][O][O])	MO7	MO4
[O]([Mo][Mo])	MO7	O12
[O]([Mo])	MO7	O13
[O]([Mo])	MO7	O14
[Mo]([O][O][O][O][O][O])	MO7	MO5
[O]([Mo])	MO7	O15
[O]([Mo])	MO7	O16
[O]([Mo][Mo][Mo])	MO7	O17
[O]([Mo][Mo])	MO7	O18
[O]([Mo][Mo])	MO7	O19
[Mo]([O][O][O][O][O][O])	MO7	MO6
